num_sensitive,bm_size,r,p_degree,KLD_value,KLD_exec_time,CAHD_exec_time
4,1000,4,20,0.0031298930089277,2.8079380989074707,117.9757308959961
4,1000,4,20,0.0991576224867589,5.5814173221588135,117.9757308959961
4,1000,4,20,0.0,8.376755237579346,117.9757308959961
4,1000,4,20,0.0,11.25506830215454,117.9757308959961
4,1000,4,20,0.0,14.09926462173462,117.9757308959961
6,1000,4,20,0.2155296639181408,4.413412570953369,145.10115361213684
6,1000,4,20,1.386365434774473,8.935981750488281,145.10115361213684
6,1000,4,20,0.0,13.39437770843506,145.10115361213684
6,1000,4,20,0.0,17.813148021697998,145.10115361213684
6,1000,4,20,0.0,22.196348667144772,145.10115361213684
8,1000,4,20,0.2155296639181408,6.178766250610352,149.2966284751892
8,1000,4,20,1.468754913480002,12.990973949432371,149.2966284751892
8,1000,4,20,0.0,19.59144139289856,149.2966284751892
8,1000,4,20,0.0,26.370210647583008,149.2966284751892
8,1000,4,20,0.0,33.819610834121704,149.2966284751892
10,1000,4,20,0.0050125418235444,9.081455945968628,178.8973023891449
10,1000,4,20,0.2254647258303958,16.9990713596344,178.8973023891449
10,1000,4,20,0.0184506443157523,24.861156225204468,178.8973023891449
10,1000,4,20,0.2349434697849397,32.79352378845215,178.8973023891449
10,1000,4,20,0.0429091320146943,40.65630745887756,178.8973023891449
12,1000,4,20,0.2202097442838272,11.750474452972412,214.88743591308597
12,1000,4,20,0.2289677664103487,23.88274335861206,214.88743591308597
12,1000,4,20,0.0,35.886189699172974,214.88743591308597
12,1000,4,20,0.4841873419371767,46.98353838920593,214.88743591308597
12,1000,4,20,0.0,58.4582040309906,214.88743591308597
14,1000,4,20,0.6483691427660151,13.640981197357178,241.68449926376343
14,1000,4,20,0.8963515169424474,27.17965173721313,241.68449926376343
14,1000,4,20,0.1580130691310536,41.4648027420044,241.68449926376343
14,1000,4,20,1.9775652936295476,55.28699421882629,241.68449926376343
14,1000,4,20,0.0315874209978854,69.07277989387512,241.68449926376343
16,1000,4,20,0.6787977293532376,16.17266869544983,257.03600215911865
16,1000,4,20,0.1705624764105022,32.3447744846344,257.03600215911865
16,1000,4,20,1.1032381509781146,48.42206025123596,257.03600215911865
16,1000,4,20,0.0419055193793942,64.99872016906738,257.03600215911865
16,1000,4,20,0.226915532932503,81.3247504234314,257.03600215911865
18,1000,4,20,0.1543931378934742,25.00788140296936,292.4607775211334
18,1000,4,20,0.037747254088563,47.696810722351074,292.4607775211334
18,1000,4,20,0.0176134739026887,69.29848527908325,292.4607775211334
18,1000,4,20,0.0,90.76937961578368,292.4607775211334
18,1000,4,20,0.0045558165358608,112.09795570373537,292.4607775211334
20,1000,4,20,0.4857907614793372,24.49598264694214,336.6489670276642
20,1000,4,20,0.0,50.22599792480469,336.6489670276642
20,1000,4,20,1.7693718527356803,75.87690663337708,336.6489670276642
20,1000,4,20,0.1894466346657893,105.40295505523682,336.6489670276642
