num_sensitive,bm_size,r,p_degree,KLD_value,KLD_exec_time,CAHD_exec_time
10,1000,2,10,0.0,1.2031123638153076,50.349133253097534
10,1000,2,10,0.0,2.37251615524292,50.349133253097534
10,1000,2,10,0.0,3.5446927547454834,50.349133253097534
10,1000,2,10,0.14283971513324267,4.748966455459595,50.349133253097534
10,1000,2,10,0.0,5.917818307876587,50.349133253097534
10,1000,4,10,0.2538522376334061,9.177192687988281,50.349133253097534
10,1000,4,10,1.2467079649217592,18.28018045425415,50.349133253097534
10,1000,4,10,0.05756290740114588,27.364137887954712,50.349133253097534
10,1000,4,10,0.09846352136402917,36.42459416389465,50.349133253097534
10,1000,4,10,0.006305426852561063,45.53504252433777,50.349133253097534
10,1000,6,10,0.010050335853501506,54.3060781955719,50.349133253097534
10,1000,6,10,0.8809911494865932,112.24632334709167,50.349133253097534
10,1000,6,10,1.223419408291607,171.45077776908875,50.349133253097534
10,1000,6,10,0.23561709729441355,226.03480005264282,50.349133253097534
10,1000,6,10,0.02443907330560096,281.2698230743408,50.349133253097534
10,1000,8,10,0.8529947214711869,287.4300057888031,50.349133253097534
10,1000,8,10,0.030708686319196352,552.4509229660034,50.349133253097534
10,1000,8,10,0.20368871746511658,822.2123243808746,50.349133253097534
10,1000,8,10,0.10888728335733117,1108.776649236679,50.349133253097534
10,1000,8,10,0.09686788795508605,1412.7067821025848,50.349133253097534
